,Fare,Name,Age Group,Pclass,Sex,Survived,GroupSize,CabinDeck
0,7.25,"Braund, Mr. Owen Harris",2,3,0,0.0,1,F
1,71.2833,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",2,1,1,1.0,2,C
2,7925,"Heikkinen, Miss. Laina",2,3,1,1.0,1,F
3,53.1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",2,1,1,1.0,2,C
4,8.05,"Allen, Mr. William Henry",2,3,0,0.0,1,F
5,8.4583,"Moran, Mr. James",2,3,0,0.0,1,F
6,51.8625,"McCarthy, Mr. Timothy J",2,1,0,0.0,2,E
7,21075,"Palsson, Master. Gosta Leonard",0,3,0,0.0,5,G
8,11.1333,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",2,3,1,1.0,3,G
9,30.0708,"Nasser, Mrs. Nicholas (Adele Achem)",1,2,1,1.0,2,D
10,16.7,"Sandstrom, Miss. Marguerite Rut",1,3,1,1.0,3,G
11,26.55,"Bonnell, Miss. Elizabeth",2,1,1,1.0,1,C
12,8.05,"Saundercock, Mr. William Henry",2,3,0,0.0,1,F
13,31275,"Andersson, Mr. Anders Johan",2,3,0,0.0,7,G
14,7.8542,"Vestrom, Miss. Hulda Amanda Adolfina",1,3,1,0.0,1,F
15,16.0,"Hewlett, Mrs. (Mary D Kingcome) ",2,2,1,1.0,1,D
16,29125,"Rice, Master. Eugene",0,3,0,0.0,6,G
17,13.0,"Williams, Mr. Charles Eugene",2,2,0,1.0,1,F
18,18.0,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",2,3,1,0.0,2,E
19,7225,"Masselmani, Mrs. Fatima",2,3,1,1.0,1,E
20,26.0,"Fynney, Mr. Joseph J",2,2,0,0.0,2,F
21,13.0,"Beesley, Mr. Lawrence",2,2,0,1.0,1,D
22,8.0292,"McGowan, Miss. Anna ""Annie""",1,3,1,1.0,1,F
23,35.5,"Sloper, Mr. William Thompson",2,1,0,1.0,1,A
24,21075,"Palsson, Miss. Torborg Danira",1,3,1,0.0,5,G
25,31.3875,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",2,3,1,1.0,7,G
26,7225,"Emir, Mr. Farred Chehab",2,3,0,0.0,1,F
27,263.0,"Fortune, Mr. Charles Alexander",2,1,0,0.0,6,C
28,7.8792,"O'Dwyer, Miss. Ellen ""Nellie""",2,3,1,1.0,1,F
29,7.8958,"Todoroff, Mr. Lalio",2,3,0,0.0,1,F
30,27.7208,"Uruchurtu, Don. Manuel E",2,1,0,0.0,1,C
31,146.5208,"Spencer, Mrs. William Augustus (Marie Eugenie)",2,1,1,1.0,3,B
32,7.75,"Glynn, Miss. Mary Agatha",2,3,1,1.0,1,F
33,10.5,"Wheadon, Mr. Edward H",3,2,0,0.0,1,G
34,82.1708,"Meyer, Mr. Edgar Joseph",2,1,0,0.0,2,A
35,52.0,"Holverson, Mr. Alexander Oskar",2,1,0,0.0,2,A
36,7.2292,"Mamee, Mr. Hanna",2,3,0,1.0,1,E
37,8.05,"Cann, Mr. Ernest Charles",2,3,0,0.0,1,F
38,18.0,"Vander Planke, Miss. Augusta Maria",2,3,1,0.0,2,E
39,11.2417,"Nicola-Yarred, Miss. Jamila",1,3,1,1.0,2,G
40,9475,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",2,3,1,0.0,1,E
41,21.0,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",2,2,1,0.0,2,G
42,7.8958,"Kraeff, Mr. Theodor",2,3,0,0.0,1,F
43,41.5792,"Laroche, Miss. Simonne Marie Anne Andree",1,2,1,1.0,4,F
44,7.8792,"Devaney, Miss. Margaret Delia",2,3,1,1.0,1,F
45,8.05,"Rogers, Mr. William John",2,3,0,0.0,1,F
46,15.5,"Lennon, Mr. Denis",2,3,0,0.0,2,F
47,7.75,"O'Driscoll, Miss. Bridget",2,3,1,1.0,1,F
48,21.6792,"Samaan, Mr. Youssef",2,3,0,0.0,3,F
49,17.8,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",2,3,1,0.0,2,E
50,39.6875,"Panula, Master. Juha Niilo",1,3,0,0.0,7,G
51,7.8,"Nosworthy, Mr. Richard Cater",2,3,0,0.0,1,F
52,76.7292,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",2,1,1,1.0,3,D
53,26.0,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",2,2,1,1.0,2,F
54,61.9792,"Ostby, Mr. Engelhart Cornelius",2,1,0,0.0,2,B
55,35.5,"Woolner, Mr. Hugh",2,1,0,1.0,1,C
56,10.5,"Rugg, Miss. Emily",2,2,1,1.0,1,F
57,7.2292,"Novel, Mr. Mansouer",2,3,0,0.0,1,F
58,27.75,"West, Miss. Constance Mirium",1,2,1,1.0,4,G
59,46.9,"Goodwin, Master. William Frederick",1,3,0,0.0,8,G
60,7.2292,"Sirayanian, Mr. Orsen",2,3,0,0.0,1,F
61,80.0,"Icard, Miss. Amelie",2,1,1,1.0,2,B
62,83475,"Harris, Mr. Henry Birkhardt",2,1,0,0.0,2,C
63,27.9,"Skoog, Master. Harald",1,3,0,0.0,6,G
64,27.7208,"Stewart, Mr. Albert A",2,1,0,0.0,1,C
65,15.2458,"Moubarek, Master. Gerios",2,3,0,1.0,3,G
66,10.5,"Nye, Mrs. (Elizabeth Ramell)",2,2,1,1.0,1,F
67,8.1583,"Crease, Mr. Ernest James",2,3,0,0.0,1,F
68,7925,"Andersson, Miss. Erna Alexandra",1,3,1,1.0,1,F
69,8.6625,"Kink, Mr. Vincenz",2,3,0,0.0,1,E
70,10.5,"Jenkin, Mr. Stephen Curnow",2,2,0,0.0,1,F
71,46.9,"Goodwin, Miss. Lillian Amy",1,3,1,0.0,8,G
72,73.5,"Hood, Mr. Ambrose Jr",2,2,0,0.0,7,Unknown
73,14.4542,"Chronopoulos, Mr. Apostolos",2,3,0,0.0,2,F
74,56.4958,"Bing, Mr. Lee",2,3,0,1.0,8,Unknown
75,7.65,"Moen, Mr. Sigurd Hansen",2,3,0,0.0,1,F
76,7.8958,"Staneff, Mr. Ivan",2,3,0,0.0,1,F
77,8.05,"Moutal, Mr. Rahamin Haim",2,3,0,0.0,1,F
78,29.0,"Caldwell, Master. Alden Gates",0,2,0,1.0,3,F
79,12475,"Dowdell, Miss. Elizabeth",2,3,1,1.0,2,G
80,9.0,"Waelens, Mr. Achille",2,3,0,0.0,1,E
81,9.5,"Sheerlinck, Mr. Jan Baptist",2,3,0,1.0,1,F
82,7.7875,"McDermott, Miss. Brigdet Delia",2,3,1,1.0,1,F
83,47.1,"Carrau, Mr. Francisco M",2,1,0,0.0,2,A
84,10.5,"Ilett, Miss. Bertha",1,2,1,1.0,1,Unknown
85,15.85,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",2,3,1,1.0,2,F
86,34375,"Ford, Mr. William Neal",1,3,0,0.0,5,G
87,8.05,"Slocovski, Mr. Selman Francis",2,3,0,0.0,1,F
88,263.0,"Fortune, Miss. Mabel Helen",2,1,1,1.0,6,C
89,8.05,"Celotti, Mr. Francesco",2,3,0,0.0,1,F
90,8.05,"Christmann, Mr. Emil",2,3,0,0.0,1,F
91,7.8542,"Andreasson, Mr. Paul Edvin",2,3,0,0.0,1,F
92,61175,"Chaffee, Mr. Herbert Fuller",2,1,0,0.0,2,E
93,20575,"Dean, Mr. Bertram Frank",2,3,0,0.0,4,G
94,7.25,"Coxon, Mr. Daniel",2,3,0,0.0,1,F
95,8.05,"Shorney, Mr. Charles Joseph",2,3,0,0.0,1,F
96,34.6542,"Goldschmidt, Mr. George B",3,1,0,0.0,1,A
97,63.3583,"Greenfield, Mr. William Bertram",2,1,0,1.0,2,D
98,23.0,"Doling, Mrs. John T (Ada Julia Bone)",2,2,1,1.0,2,F
99,26.0,"Kantor, Mr. Sinai",2,2,0,0.0,2,F
100,7.8958,"Petranec, Miss. Matilda",2,3,1,0.0,1,F
101,7.8958,"Petroff, Mr. Pastcho (""Pentcho"")",2,3,0,0.0,1,F
102,77.2875,"White, Mr. Richard Frasar",2,1,0,0.0,2,D
103,8.6542,"Johansson, Mr. Gustaf Joel",2,3,0,0.0,1,E
104,7925,"Gustafsson, Mr. Anders Vilhelm",2,3,0,0.0,1,F
105,7.8958,"Mionoff, Mr. Stoytcho",2,3,0,0.0,1,F
106,7.65,"Salkjelsvik, Miss. Anna Kristine",2,3,1,1.0,1,F
107,7775,"Moss, Mr. Albert Johan",2,3,0,1.0,1,F
108,7.8958,"Rekic, Mr. Tido",2,3,0,0.0,1,F
109,24.15,"Moran, Miss. Bertha",2,3,1,1.0,3,F
110,52.0,"Porter, Mr. Walter Chamberlain",2,1,0,0.0,2,C
111,14.4542,"Zabour, Miss. Hileni",1,3,1,0.0,2,F
112,8.05,"Barton, Mr. David John",2,3,0,0.0,1,F
113,9825,"Jussila, Miss. Katriina",2,3,1,0.0,1,E
114,14.4583,"Attalah, Miss. Malake",1,3,1,0.0,2,F
115,7925,"Pekoniemi, Mr. Edvard",2,3,0,0.0,1,F
116,7.75,"Connors, Mr. Patrick",3,3,0,0.0,1,Unknown
117,21.0,"Turpin, Mr. William John Robert",2,2,0,0.0,2,G
118,247.5208,"Baxter, Mr. Quigg Edmond",2,1,0,0.0,3,B
119,31275,"Andersson, Miss. Ellis Anna Maria",0,3,1,0.0,7,G
120,73.5,"Hickman, Mr. Stanley George",2,2,0,0.0,7,Unknown
121,8.05,"Moore, Mr. Leonard Charles",2,3,0,0.0,1,F
122,30.0708,"Nasser, Mr. Nicholas",2,2,0,0.0,2,D
123,13.0,"Webber, Miss. Susan",2,2,1,1.0,1,E
124,77.2875,"White, Mr. Percival Wayland",2,1,0,0.0,2,D
125,11.2417,"Nicola-Yarred, Master. Elias",1,3,0,1.0,2,G
126,7.75,"McMahon, Mr. Martin",2,3,0,0.0,1,F
127,7.1417,"Madsen, Mr. Fridtjof Arne",2,3,0,1.0,1,E
128,22.3583,"Peter, Miss. Anna",2,3,1,1.0,3,F
129,6975,"Ekstrom, Mr. Johan",2,3,0,0.0,1,G
130,7.8958,"Drazenoic, Mr. Jozef",2,3,0,0.0,1,F
131,7.05,"Coelho, Mr. Domingos Fernandeo",2,3,0,0.0,1,F
132,14.5,"Robins, Mrs. Alexander A (Grace Charity Laury)",2,3,1,0.0,2,F
133,26.0,"Weisz, Mrs. Leopold (Mathilde Francoise Pede)",2,2,1,1.0,2,F
134,13.0,"Sobey, Mr. Samuel James Hayden",2,2,0,0.0,1,F
135,15.0458,"Richard, Mr. Emile",2,2,0,0.0,1,D
136,26.2833,"Newsom, Miss. Helen Monypeny",2,1,1,1.0,1,D
137,53.1,"Futrelle, Mr. Jacques Heath",2,1,0,0.0,2,C
138,9.2167,"Osen, Mr. Olaf Elon",1,3,0,0.0,2,G
139,79.2,"Giglio, Mr. Victor",2,1,0,0.0,2,B
140,15.2458,"Boulos, Mrs. Joseph (Sultana)",2,3,1,0.0,3,G
141,7.75,"Nysten, Miss. Anna Sofia",2,3,1,1.0,1,F
142,15.85,"Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)",2,3,1,1.0,2,F
143,6.75,"Burke, Mr. Jeremiah",2,3,0,0.0,1,G
144,11.5,"Andrew, Mr. Edgardo Samuel",2,2,0,0.0,1,F
145,36.75,"Nicholls, Mr. Joseph Charles",2,2,0,0.0,4,G
146,7.7958,"Andersson, Mr. August Edvard (""Wennerstrom"")",2,3,0,1.0,1,F
147,34375,"Ford, Miss. Robina Maggie ""Ruby""",1,3,1,0.0,5,G
148,26.0,"Navratil, Mr. Michel (""Louis M Hoffman"")",2,2,0,0.0,3,F
149,13.0,"Byles, Rev. Thomas Roussel Davids",2,2,0,0.0,1,F
150,12525,"Bateman, Rev. Robert James",2,2,0,0.0,1,F
151,66.6,"Pears, Mrs. Thomas (Edith Wearne)",2,1,1,1.0,2,C
152,8.05,"Meo, Mr. Alfonzo",2,3,0,0.0,1,F
153,14.5,"van Billiard, Mr. Austin Blyler",2,3,0,0.0,3,G
154,7.3125,"Olsen, Mr. Ole Martin",2,3,0,0.0,1,F
155,61.3792,"Williams, Mr. Charles Duane",2,1,0,0.0,2,A
156,7.7333,"Gilnagh, Miss. Katherine ""Katie""",1,3,1,1.0,1,F
157,8.05,"Corn, Mr. Harry",2,3,0,0.0,1,F
158,8.6625,"Smiljanic, Mr. Mile",2,3,0,0.0,1,E
159,69.55,"Sage, Master. Thomas Henry",2,3,0,0.0,11,G
160,16.1,"Cribb, Mr. John Hatfield",2,3,0,0.0,2,F
161,15.75,"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)",2,2,1,1.0,2,G
162,7775,"Bengtsson, Mr. John Viktor",2,3,0,0.0,1,F
163,8.6625,"Calic, Mr. Jovo",1,3,0,0.0,1,E
164,39.6875,"Panula, Master. Eino Viljami",0,3,0,0.0,7,G
165,20525,"Goldsmith, Master. Frank John William ""Frankie""",1,3,0,1.0,3,E
166,55.0,"Chibnall, Mrs. (Edith Martha Bowerman)",2,1,1,1.0,2,E
167,27.9,"Skoog, Mrs. William (Anna Bernhardina Karlsson)",2,3,1,0.0,6,G
168,25925,"Baumann, Mr. John D",2,1,0,0.0,1,C
169,56.4958,"Ling, Mr. Lee",2,3,0,0.0,8,Unknown
170,33.5,"Van der hoef, Mr. Wyckoff",2,1,0,0.0,1,B
171,29125,"Rice, Master. Arthur",1,3,0,0.0,6,G
172,11.1333,"Johnson, Miss. Eleanor Ileen",0,3,1,1.0,3,G
173,7925,"Sivola, Mr. Antti Wilhelm",2,3,0,0.0,1,F
174,30.6958,"Smith, Mr. James Clinch",2,1,0,0.0,1,A
175,7.8542,"Klasen, Mr. Klas Albin",2,3,0,0.0,1,F
176,25.4667,"Lefebre, Master. Henry Forbes",2,3,0,0.0,5,G
177,28.7125,"Isham, Miss. Ann Elizabeth",2,1,1,0.0,1,C
178,13.0,"Hale, Mr. Reginald",2,2,0,0.0,1,F
179,0.0,"Leonard, Mr. Lionel",2,3,0,0.0,4,G
180,69.55,"Sage, Miss. Constance Gladys",2,3,1,0.0,11,G
181,15.05,"Pernot, Mr. Rene",2,2,0,0.0,1,D
182,31.3875,"Asplund, Master. Clarence Gustaf Hugo",1,3,0,0.0,7,G
183,39.0,"Becker, Master. Richard F",0,2,0,1.0,4,F
184,22025,"Kink-Heilmann, Miss. Luise Gretchen",1,3,1,1.0,3,E
185,50.0,"Rood, Mr. Hugh Roscoe",2,1,0,0.0,1,A
186,15.5,"O'Brien, Mrs. Thomas (Johanna ""Hannah"" Godfrey)",2,3,1,1.0,2,F
187,26.55,"Romaine, Mr. Charles Hallace (""Mr C Rolmane"")",2,1,0,1.0,1,E
188,15.5,"Bourke, Mr. John",2,3,0,0.0,2,F
189,7.8958,"Turcin, Mr. Stjepan",2,3,0,0.0,1,F
190,13.0,"Pinsky, Mrs. (Rosa)",2,2,1,1.0,1,F
191,13.0,"Carbines, Mr. William",2,2,0,0.0,1,F
192,7.8542,"Andersen-Jensen, Miss. Carla Christine Nielsine",2,3,1,1.0,1,F
193,26.0,"Navratil, Master. Michel M",1,2,0,1.0,3,F
194,27.7208,"Brown, Mrs. James Joseph (Margaret Tobin)",2,1,1,1.0,1,B
195,146.5208,"Lurette, Miss. Elise",2,1,1,1.0,3,B
196,7.75,"Mernagh, Mr. Robert",2,3,0,0.0,1,F
197,8.4042,"Olsen, Mr. Karl Siegwart Andreas",2,3,0,0.0,1,F
198,7.75,"Madigan, Miss. Margaret ""Maggie""",2,3,1,1.0,1,F
199,13.0,"Yrois, Miss. Henriette (""Mrs Harbeck"")",2,2,1,0.0,1,F
200,9.5,"Vande Walle, Mr. Nestor Cyriel",2,3,0,0.0,1,E
201,69.55,"Sage, Mr. Frederick",2,3,0,0.0,11,G
202,6.4958,"Johanson, Mr. Jakob Alfred",2,3,0,0.0,1,G
203,7225,"Youseff, Mr. Gerious",2,3,0,0.0,1,F
204,8.05,"Cohen, Mr. Gurshon ""Gus""",2,3,0,1.0,1,F
205,10.4625,"Strom, Miss. Telma Matilda",0,3,1,0.0,2,G
206,15.85,"Backstrom, Mr. Karl Alfred",2,3,0,0.0,2,F
207,18.7875,"Albimona, Mr. Nassef Cassem",2,3,0,1.0,2,F
208,7.75,"Carr, Miss. Helen ""Ellen""",1,3,1,1.0,1,F
209,31.0,"Blank, Mr. Henry",2,1,0,1.0,1,A
210,7.05,"Ali, Mr. Ahmed",2,3,0,0.0,1,F
211,21.0,"Cameron, Miss. Clear Annie",2,2,1,1.0,2,G
212,7.25,"Perkin, Mr. John Henry",2,3,0,0.0,1,F
213,13.0,"Givard, Mr. Hans Kristensen",2,2,0,0.0,1,F
214,7.75,"Kiernan, Mr. Philip",2,3,0,0.0,1,F
215,113275,"Newell, Miss. Madeleine",2,1,1,1.0,3,D
216,7925,"Honkanen, Miss. Eliina",2,3,1,1.0,1,F
217,27.0,"Jacobsohn, Mr. Sidney Samuel",2,2,0,0.0,2,D
218,76.2917,"Bazzani, Miss. Albina",2,1,1,1.0,2,D
219,10.5,"Harris, Mr. Walter",2,2,0,0.0,1,F
220,8.05,"Sunderland, Mr. Victor Francis",1,3,0,1.0,1,F
221,13.0,"Bracken, Mr. James H",2,2,0,0.0,1,F
222,8.05,"Green, Mr. George Henry",2,3,0,0.0,1,F
223,7.8958,"Nenkoff, Mr. Christo",2,3,0,0.0,1,F
224,90.0,"Hoyt, Mr. Frederick Maxfield",2,1,0,1.0,2,C
225,9.35,"Berglund, Mr. Karl Ivar Sven",2,3,0,0.0,1,E
226,10.5,"Mellors, Mr. William John",2,2,0,1.0,1,F
227,7.25,"Lovell, Mr. John Hall (""Henry"")",2,3,0,0.0,1,F
228,13.0,"Fahlstrom, Mr. Arne Jonas",2,2,0,0.0,1,F
229,25.4667,"Lefebre, Miss. Mathilde",2,3,1,0.0,5,G
230,83475,"Harris, Mrs. Henry Birkhardt (Irene Wallach)",2,1,1,1.0,2,C
231,7775,"Larsson, Mr. Bengt Edvin",2,3,0,0.0,1,F
232,13.5,"Sjostedt, Mr. Ernst Adolf",2,2,0,0.0,1,D
233,31.3875,"Asplund, Miss. Lillian Gertrud",1,3,1,1.0,7,G
234,10.5,"Leyson, Mr. Robert William Norman",2,2,0,0.0,1,F
235,7.55,"Harknett, Miss. Alice Phoebe",2,3,1,0.0,1,F
236,26.0,"Hold, Mr. Stephen",2,2,0,0.0,2,F
237,26.25,"Collyer, Miss. Marjorie ""Lottie""",1,2,1,1.0,3,G
238,10.5,"Pengelly, Mr. Frederick William",2,2,0,0.0,1,F
239,12275,"Hunt, Mr. George Henry",2,2,0,0.0,1,F
240,14.4542,"Zabour, Miss. Thamine",2,3,1,0.0,2,F
241,15.5,"Murphy, Miss. Katherine ""Kate""",2,3,1,1.0,2,F
242,10.5,"Coleridge, Mr. Reginald Charles",2,2,0,0.0,1,F
243,7125,"Maenpaa, Mr. Matti Alexanteri",2,3,0,0.0,1,F
244,7225,"Attalah, Mr. Sleiman",2,3,0,0.0,1,F
245,90.0,"Minahan, Dr. William Edward",2,1,0,0.0,3,C
246,7775,"Lindahl, Miss. Agda Thorilda Viktoria",2,3,1,0.0,1,F
247,14.5,"Hamalainen, Mrs. William (Anna)",2,2,1,1.0,2,G
248,52.5542,"Beckwith, Mr. Richard Leonard",2,1,0,1.0,2,D
249,26.0,"Carter, Rev. Ernest Courtenay",2,2,0,0.0,2,F
250,7.25,"Reed, Mr. James George",2,3,0,0.0,1,F
251,10.4625,"Strom, Mrs. Wilhelm (Elna Matilda Persson)",2,3,1,0.0,2,G
252,26.55,"Stead, Mr. William Thomas",2,1,0,0.0,1,C
253,16.1,"Lobb, Mr. William Arthur",2,3,0,0.0,2,F
254,20.2125,"Rosblom, Mrs. Viktor (Helena Wilhelmina)",2,3,1,0.0,3,G
255,15.2458,"Touma, Mrs. Darwis (Hanne Youssef Razi)",2,3,1,1.0,3,G
256,79.2,"Thorne, Mrs. Gertrude Maybelle",2,1,1,1.0,2,A
257,86.5,"Cherry, Miss. Gladys",2,1,1,1.0,3,B
258,512.3292,"Ward, Miss. Anna",2,1,1,1.0,4,B
259,26.0,"Parrish, Mrs. (Lutie Davis)",2,2,1,1.0,2,F
260,7.75,"Smith, Mr. Thomas",2,3,0,0.0,1,F
261,31.3875,"Asplund, Master. Edvin Rojj Felix",1,3,0,1.0,7,G
262,79.65,"Taussig, Mr. Emil",2,1,0,0.0,3,E
263,0.0,"Harrison, Mr. William",2,1,0,0.0,1,B
264,7.75,"Henry, Miss. Delia",2,3,1,0.0,1,F
265,10.5,"Reeves, Mr. David",2,2,0,0.0,1,F
266,39.6875,"Panula, Mr. Ernesti Arvid",1,3,0,0.0,7,G
267,7775,"Persson, Mr. Ernst Ulrik",2,3,0,1.0,1,F
268,153.4625,"Graham, Mrs. William Thompson (Edith Junkins)",2,1,1,1.0,3,C
269,135.6333,"Bissette, Miss. Amelia",2,1,1,1.0,4,C
270,31.0,"Cairns, Mr. Alexander",2,1,0,0.0,2,A
271,0.0,"Tornquist, Mr. William Henry",2,3,0,1.0,4,G
272,19.5,"Mellinger, Mrs. (Elizabeth Anne Maidment)",2,2,1,1.0,2,G
273,29.7,"Natsch, Mr. Charles H",2,1,0,0.0,1,C
274,7.75,"Healy, Miss. Hanora ""Nora""",2,3,1,1.0,1,F
275,77.9583,"Andrews, Miss. Kornelia Theodosia",2,1,1,1.0,3,D
276,7.75,"Lindblom, Miss. Augusta Charlotta",2,3,1,0.0,1,F
277,0.0,"Parkes, Mr. Francis ""Frank""",2,2,0,0.0,3,G
278,29125,"Rice, Master. Eric",1,3,0,0.0,6,G
279,20.25,"Abbott, Mrs. Stanton (Rosa Hunt)",2,3,1,1.0,3,E
280,7.75,"Duane, Mr. Frank",2,3,0,0.0,1,F
281,7.8542,"Olsson, Mr. Nils Johan Goransson",2,3,0,0.0,1,F
282,9.5,"de Pelsmaeker, Mr. Alfons",1,3,0,0.0,1,E
283,8.05,"Dorking, Mr. Edward Arthur",2,3,0,1.0,1,F
284,26.0,"Smith, Mr. Richard William",2,1,0,0.0,1,A
285,8.6625,"Stankovic, Mr. Ivan",2,3,0,0.0,1,E
286,9.5,"de Mulder, Mr. Theodore",2,3,0,1.0,1,F
287,7.8958,"Naidenoff, Mr. Penko",2,3,0,0.0,1,F
288,13.0,"Hosono, Mr. Masabumi",2,2,0,1.0,1,F
289,7.75,"Connolly, Miss. Kate",2,3,1,1.0,1,F
290,78.85,"Barber, Miss. Ellen ""Nellie""",2,1,1,1.0,3,E
291,91.0792,"Bishop, Mrs. Dickinson H (Helen Walton)",2,1,1,1.0,2,B
292,12875,"Levy, Mr. Rene Jacques",2,2,0,0.0,1,D
293,8.85,"Haas, Miss. Aloisia",2,3,1,0.0,1,E
294,7.8958,"Mineff, Mr. Ivan",2,3,0,0.0,1,F
295,27.7208,"Lewy, Mr. Ervin G",2,1,0,0.0,1,C
296,7.2292,"Hanna, Mr. Mansour",2,3,0,0.0,1,F
297,151.55,"Allison, Miss. Helen Loraine",0,1,1,0.0,6,C
298,30.5,"Saalfeld, Mr. Adolphe",2,1,0,1.0,1,C
299,247.5208,"Baxter, Mrs. James (Helene DeLaudeniere Chaput)",2,1,1,1.0,3,B
300,7.75,"Kelly, Miss. Anna Katherine ""Annie Kate""",2,3,1,1.0,1,F
301,23.25,"McCoy, Mr. Bernard",2,3,0,1.0,3,F
302,0.0,"Johnson, Mr. William Cahoone Jr",2,3,0,0.0,4,G
303,12.35,"Keane, Miss. Nora A",2,2,1,1.0,1,E
304,8.05,"Williams, Mr. Howard Hugh ""Harry""",2,3,0,0.0,1,F
305,151.55,"Allison, Master. Hudson Trevor",0,1,0,1.0,6,C
306,110.8833,"Fleming, Miss. Margaret",2,1,1,1.0,4,C
307,108.9,"Penasco y Castellana, Mrs. Victor de Satode (Maria Josefa Perez de Soto y Vallejo)",1,1,1,1.0,3,C
308,24.0,"Abelson, Mr. Samuel",2,2,0,0.0,2,F
309,56.9292,"Francatelli, Miss. Laura Mabel",2,1,1,1.0,2,E
310,83.1583,"Hays, Miss. Margaret Bechstein",2,1,1,1.0,3,C
311,262375,"Ryerson, Miss. Emily Borie",2,1,1,1.0,7,B
312,26.0,"Lahtinen, Mrs. William (Anna Sylfven)",2,2,1,0.0,2,F
313,7.8958,"Hendekovic, Mr. Ignjac",2,3,0,0.0,1,F
314,26.25,"Hart, Mr. Benjamin",2,2,0,0.0,3,G
315,7.8542,"Nilsson, Miss. Helmina Josefina",2,3,1,1.0,1,F
316,26.0,"Kantor, Mrs. Sinai (Miriam Sternin)",2,2,1,1.0,2,F
317,14.0,"Moraweck, Dr. Ernest",2,2,0,0.0,1,D
318,164.8667,"Wick, Miss. Mary Natalie",2,1,1,1.0,4,C
319,134.5,"Spedden, Mrs. Frederic Oakley (Margaretta Corning Stone)",2,1,1,1.0,5,E
320,7.25,"Dennis, Mr. Samuel",2,3,0,0.0,1,F
321,7.8958,"Danoff, Mr. Yoto",2,3,0,0.0,1,F
322,12.35,"Slayter, Miss. Hilda Mary",2,2,1,1.0,1,F
